question,answer
How do I create an account?,You can create an account by clicking Sign Up on the homepage and filling in your details.
How can I reset my password?,Click Forgot Password on the login page and follow the instructions sent to your email.
Do I need an account to place an order?,"Yes, you need to log in to your account to complete checkout and track your order."
How can I search for products?,Use the search bar at the top of the website to find products by name or category.
Can I save items for later?,"Yes, you can add items to your wishlist or keep them in your cart for later."
How do I place an order?,"Add items to your cart, go to checkout, confirm your delivery address, and complete payment."
How long does delivery take?,"Orders are usually delivered within 24–48 hours, depending on your location."
Can I schedule a delivery time?,"Yes, you can choose your preferred delivery slot during checkout."
How can I track my order?,Go to My Orders in your account to see your order status and tracking details.
What if my order is late?,You can contact our support team or check your tracking details for updates.
What payment methods do you accept?,"We accept credit/debit cards, PayPal, and cash on delivery in selected areas."
Is online payment secure?,"Yes, we use encrypted payment gateways to keep your transactions safe."
Can I pay cash on delivery?,"Yes, cash on delivery is available in most locations."
How do I request a refund?,"Go to My Orders, select the item, and click Request Refund."
How long does it take to get my refund?,Refunds usually take 3–5 business days to process.
Are all products always available?,"Availability may vary, but out-of-stock items will be clearly marked on the website."
Do you sell fresh fruits and vegetables?,"Yes, we provide a wide range of fresh fruits, vegetables, and groceries online."
Can I return perishable items?,"Perishable items like fruits, vegetables, and dairy cannot be returned, except if damaged upon delivery."
Can I request a product that is not listed?,"Yes, you can suggest products via our Customer Feedback form."
Do you have product offers or discounts?,"Yes, you can check our Offers & Discounts section for weekly deals."
